Fecha;Mes;Canal;Dispositivo;Edad;Género;Visitas;Visitas recurrentes;Pedidos;Precio medio;Número medio artículos;Suscripciones newletter;Suscripciones web
04/01/2021;Total;Google ads;Total;Total;Total;900;300;6;42;2,5;480;240
05/01/2021;Total;Google ads;Total;Total;Total;1000;150;6;56;4;460;230
06/01/2021;Total;Google ads;Total;Total;Total;1000;150;6;57;2;460;230
07/01/2021;Total;Google ads;Total;Total;Total;1050;200;5,5;35;2,5;500;250
08/01/2021;Total;Google ads;Total;Total;Total;1100;250;5;45;3;540;270
09/01/2021;Total;Google ads;Total;Total;Total;900;150;4,5;60;1,5;420;210
10/01/2021;Total;Google ads;Total;Total;Total;950;200;5,5;70;2,5;460;230
11/01/2021;Total;Google ads;Total;Total;Total;1100;250;4,5;45;4;540;270
12/01/2021;Total;Google ads;Total;Total;Total;1000;150;5;46;2;460;230
13/01/2021;Total;Google ads;Total;Total;Total;1050;200;5,5;35;2,5;500;250
14/01/2021;Total;Google ads;Total;Total;Total;1200;250;6;65;3;580;290
15/01/2021;Total;Google ads;Total;Total;Total;1250;200;5,5;50;1,5;580;290
16/01/2021;Total;Google ads;Total;Total;Total;1200;100;5;45;2,5;520;260
17/01/2021;Total;Google ads;Total;Total;Total;1100;250;5,5;65;4;540;270
18/01/2021;Total;Google ads;Total;Total;Total;1300;300;6;70;2;640;320
19/01/2021;Total;Google ads;Total;Total;Total;1350;200;6,5;35;2,5;620;310
20/01/2021;Total;Google ads;Total;Total;Total;1250;150;5,5;45;3;560;280
21/01/2021;Total;Google ads;Total;Total;Total;1300;250;6,5;55;1,5;620;310
22/01/2021;Total;Google ads;Total;Total;Total;1350;300;7;67;2,5;660;330
23/01/2021;Total;Google ads;Total;Total;Total;1200;200;6;77;4;560;280
24/01/2021;Total;Google ads;Total;Total;Total;1150;150;5;40;2;520;260
25/01/2021;Total;Google ads;Total;Total;Total;1400;200;5,5;35;2,5;640;320
26/01/2021;Total;Google ads;Total;Total;Total;1450;300;4,5;36;3;700;350
27/01/2021;Total;Google ads;Total;Total;Total;1500;250;7;42;1,5;700;350
28/01/2021;Total;Google ads;Total;Total;Total;1550;300;7,5;56;2,5;740;370
29/01/2021;Total;Google ads;Total;Total;Total;1450;200;7;57;4;660;330
30/01/2021;Total;Google ads;Total;Total;Total;1400;100;6;35;2;600;300
31/01/2021;Total;Google ads;Total;Total;Total;1475;200;6,5;45;2,5;670;335
01/02/2021;Total;Google ads;Total;Total;Total;1600;300;7,5;60;3;760;380
02/02/2021;Total;Google ads;Total;Total;Total;1650;200;6,5;70;1,5;740;370
03/02/2021;Total;Google ads;Total;Total;Total;1550;200;6;45;2,5;700;350
04/02/2021;Total;Google ads;Total;Total;Total;1600;250;7;46;4;740;370
05/02/2021;Total;Google ads;Total;Total;Total;1550;150;6,5;35;2;680;340
06/02/2021;Total;Google ads;Total;Total;Total;1750;200;7,5;65;2,5;780;390
07/02/2021;Total;Google ads;Total;Total;Total;1800;250;7,5;50;3;820;410
08/02/2021;Total;Google ads;Total;Total;Total;1650;150;6;45;1,5;720;360
09/02/2021;Total;Google ads;Total;Total;Total;1800;300;8;65;2,5;840;420
10/02/2021;Total;Google ads;Total;Total;Total;1750;250;7,5;70;4;800;400
11/02/2021;Total;Google ads;Total;Total;Total;1700;200;7;35;2;760;380
12/02/2021;Total;Google ads;Total;Total;Total;1850;250;6,5;45;2,5;840;420
13/02/2021;Total;Google ads;Total;Total;Total;1900;150;7,5;55;3;820;410
14/02/2021;Total;Google ads;Total;Total;Total;1950;300;8;67;1,5;900;450
15/02/2021;Total;Google ads;Total;Total;Total;1900;250;7,5;77;2,5;860;430
16/02/2021;Total;Google ads;Total;Total;Total;1950;300;7;40;4;900;450
17/02/2021;Total;Google ads;Total;Total;Total;2000;350;8;35;2;940;470
18/02/2021;Total;Google ads;Total;Total;Total;2050;350;8;36;2,5;960;480
19/02/2021;Total;Google ads;Total;Total;Total;1950;200;7;42;3;860;430
20/02/2021;Total;Google ads;Total;Total;Total;2100;300;8;56;1,5;960;480
21/02/2021;Total;Google ads;Total;Total;Total;2000;250;7,5;57;2,5;900;450
22/02/2021;Total;Google ads;Total;Total;Total;2050;300;7;35;4;940;470
23/02/2021;Total;Google ads;Total;Total;Total;2150;250;7,5;45;2;960;480
24/02/2021;Total;Google ads;Total;Total;Total;2200;300;8;60;2,5;1000;500
25/02/2021;Total;Google ads;Total;Total;Total;2250;350;8;70;3;1040;520
26/02/2021;Total;Google ads;Total;Total;Total;2150;300;7;45;1,5;980;490
27/02/2021;Total;Google ads;Total;Total;Total;2250;350;7,5;46;2,5;1040;520
28/02/2021;Total;Google ads;Total;Total;Total;2300;350;8;35;4;1060;530
01/01/2021;Total;SEO;Total;Total;Total;300;90;3;40;2,5;156;78
02/01/2021;Total;SEO;Total;Total;Total;450;60;3,6;35;3;204;102
03/01/2021;Total;SEO;Total;Total;Total;450;150;2,4;36;1,5;240;120
04/01/2021;Total;SEO;Total;Total;Total;540;180;3,6;42;2,5;288;144
05/01/2021;Total;SEO;Total;Total;Total;600;90;3,6;56;4;276;138
06/01/2021;Total;SEO;Total;Total;Total;600;90;3,6;57;2;276;138
07/01/2021;Total;SEO;Total;Total;Total;630;120;3,3;35;2,5;300;150
08/01/2021;Total;SEO;Total;Total;Total;660;150;3;45;3;324;162
09/01/2021;Total;SEO;Total;Total;Total;540;90;2,7;60;1,5;252;126
10/01/2021;Total;SEO;Total;Total;Total;570;120;3,3;70;2,5;276;138
11/01/2021;Total;SEO;Total;Total;Total;660;150;2,7;45;4;324;162
12/01/2021;Total;SEO;Total;Total;Total;600;90;3;46;2;276;138
13/01/2021;Total;SEO;Total;Total;Total;630;120;3,3;35;2,5;300;150
14/01/2021;Total;SEO;Total;Total;Total;720;150;3,6;65;3;348;174
15/01/2021;Total;SEO;Total;Total;Total;750;120;3,3;50;1,5;348;174
16/01/2021;Total;SEO;Total;Total;Total;720;60;3;45;2,5;312;156
17/01/2021;Total;SEO;Total;Total;Total;660;150;3,3;65;4;324;162
18/01/2021;Total;SEO;Total;Total;Total;780;180;3,6;70;2;384;192
19/01/2021;Total;SEO;Total;Total;Total;810;120;3,9;35;2,5;372;186
20/01/2021;Total;SEO;Total;Total;Total;750;90;3,3;45;3;336;168
21/01/2021;Total;SEO;Total;Total;Total;780;150;3,9;55;1,5;372;186
22/01/2021;Total;SEO;Total;Total;Total;810;180;4,2;67;2,5;396;198
23/01/2021;Total;SEO;Total;Total;Total;720;120;3,6;77;4;336;168
24/01/2021;Total;SEO;Total;Total;Total;690;90;3;40;2;312;156
25/01/2021;Total;SEO;Total;Total;Total;840;120;3,3;35;2,5;384;192
26/01/2021;Total;SEO;Total;Total;Total;870;180;2,7;36;3;420;210
27/01/2021;Total;SEO;Total;Total;Total;900;150;4,2;42;1,5;420;210
28/01/2021;Total;SEO;Total;Total;Total;930;180;4,5;56;2,5;444;222
29/01/2021;Total;SEO;Total;Total;Total;870;120;4,2;57;4;396;198
30/01/2021;Total;SEO;Total;Total;Total;840;60;3,6;35;2;360;180
31/01/2021;Total;SEO;Total;Total;Total;885;120;3,9;45;2,5;402;201
01/02/2021;Total;SEO;Total;Total;Total;960;180;4,5;60;3;456;228
02/02/2021;Total;SEO;Total;Total;Total;990;120;3,9;70;1,5;444;222
03/02/2021;Total;SEO;Total;Total;Total;930;120;3,6;45;2,5;420;210
04/02/2021;Total;SEO;Total;Total;Total;960;150;4,2;46;4;444;222
05/02/2021;Total;SEO;Total;Total;Total;930;90;3,9;35;2;408;204
06/02/2021;Total;SEO;Total;Total;Total;1050;120;4,5;65;2,5;468;234
07/02/2021;Total;SEO;Total;Total;Total;1080;150;4,5;50;3;492;246
08/02/2021;Total;SEO;Total;Total;Total;990;90;3,6;45;1,5;432;216
09/02/2021;Total;SEO;Total;Total;Total;1080;180;4,8;65;2,5;504;252
10/02/2021;Total;SEO;Total;Total;Total;1050;150;4,5;70;4;480;240
11/02/2021;Total;SEO;Total;Total;Total;1020;120;4,2;35;2;456;228
12/02/2021;Total;SEO;Total;Total;Total;1110;150;3,9;45;2,5;504;252
13/02/2021;Total;SEO;Total;Total;Total;1140;90;4,5;55;3;492;246
14/02/2021;Total;SEO;Total;Total;Total;1170;180;4,8;67;1,5;540;270
15/02/2021;Total;SEO;Total;Total;Total;1140;150;4,5;77;2,5;516;258
16/02/2021;Total;SEO;Total;Total;Total;1170;180;4,2;40;4;540;270
17/02/2021;Total;SEO;Total;Total;Total;1200;210;4,8;35;2;564;282
18/02/2021;Total;SEO;Total;Total;Total;1230;210;4,8;36;2,5;576;288
19/02/2021;Total;SEO;Total;Total;Total;1170;120;4,2;42;3;516;258
20/02/2021;Total;SEO;Total;Total;Total;1260;180;4,8;56;1,5;576;288
21/02/2021;Total;SEO;Total;Total;Total;1200;150;4,5;57;2,5;540;270
22/02/2021;Total;SEO;Total;Total;Total;1230;180;4,2;35;4;564;282
23/02/2021;Total;SEO;Total;Total;Total;1290;150;4,5;45;2;576;288
24/02/2021;Total;SEO;Total;Total;Total;1320;180;4,8;60;2,5;600;300
25/02/2021;Total;SEO;Total;Total;Total;1350;210;4,8;70;3;624;312
26/02/2021;Total;SEO;Total;Total;Total;1290;180;4,2;45;1,5;588;294
27/02/2021;Total;SEO;Total;Total;Total;1350;210;4,5;46;2,5;624;312
28/02/2021;Total;SEO;Total;Total;Total;1380;210;4,8;35;4;636;318
01/01/2021;Total;Redes sociales;Total;Total;Total;100;30;1;40;2,5;52;26
02/01/2021;Total;Redes sociales;Total;Total;Total;150;20;1,2;35;3;68;34
03/01/2021;Total;Redes sociales;Total;Total;Total;150;50;0,8;36;1,5;80;40
04/01/2021;Total;Redes sociales;Total;Total;Total;180;60;1,2;42;2,5;96;48
05/01/2021;Total;Redes sociales;Total;Total;Total;200;30;1,2;56;4;92;46
06/01/2021;Total;Redes sociales;Total;Total;Total;200;30;1,2;57;2;92;46
07/01/2021;Total;Redes sociales;Total;Total;Total;210;40;1,1;35;2,5;100;50
08/01/2021;Total;Redes sociales;Total;Total;Total;220;50;1;45;3;108;54
09/01/2021;Total;Redes sociales;Total;Total;Total;180;30;0,9;60;1,5;84;42
10/01/2021;Total;Redes sociales;Total;Total;Total;190;40;1,1;70;2,5;92;46
11/01/2021;Total;Redes sociales;Total;Total;Total;220;50;0,9;45;4;108;54
12/01/2021;Total;Redes sociales;Total;Total;Total;200;30;1;46;2;92;46
13/01/2021;Total;Redes sociales;Total;Total;Total;210;40;1,1;35;2,5;100;50
14/01/2021;Total;Redes sociales;Total;Total;Total;240;50;1,2;65;3;116;58
15/01/2021;Total;Redes sociales;Total;Total;Total;250;40;1,1;50;1,5;116;58
16/01/2021;Total;Redes sociales;Total;Total;Total;240;20;1;45;2,5;104;52
17/01/2021;Total;Redes sociales;Total;Total;Total;220;50;1,1;65;4;108;54
18/01/2021;Total;Redes sociales;Total;Total;Total;260;60;1,2;70;2;128;64
19/01/2021;Total;Redes sociales;Total;Total;Total;270;40;1,3;35;2,5;124;62
20/01/2021;Total;Redes sociales;Total;Total;Total;250;30;1,1;45;3;112;56
21/01/2021;Total;Redes sociales;Total;Total;Total;260;50;1,3;55;1,5;124;62
22/01/2021;Total;Redes sociales;Total;Total;Total;270;60;1,4;67;2,5;132;66
23/01/2021;Total;Redes sociales;Total;Total;Total;240;40;1,2;77;4;112;56
24/01/2021;Total;Redes sociales;Total;Total;Total;230;30;1;40;2;104;52
25/01/2021;Total;Redes sociales;Total;Total;Total;280;40;1,1;35;2,5;128;64
26/01/2021;Total;Redes sociales;Total;Total;Total;290;60;0,9;36;3;140;70
27/01/2021;Total;Redes sociales;Total;Total;Total;300;50;1,4;42;1,5;140;70
28/01/2021;Total;Redes sociales;Total;Total;Total;310;60;1,5;56;2,5;148;74
29/01/2021;Total;Redes sociales;Total;Total;Total;290;40;1,4;57;4;132;66
30/01/2021;Total;Redes sociales;Total;Total;Total;280;20;1,2;35;2;120;60
31/01/2021;Total;Redes sociales;Total;Total;Total;295;40;1,3;45;2,5;134;67
01/02/2021;Total;Redes sociales;Total;Total;Total;320;60;1,5;60;3;152;76
02/02/2021;Total;Redes sociales;Total;Total;Total;330;40;1,3;70;1,5;148;74
03/02/2021;Total;Redes sociales;Total;Total;Total;310;40;1,2;45;2,5;140;70
04/02/2021;Total;Redes sociales;Total;Total;Total;320;50;1,4;46;4;148;74
05/02/2021;Total;Redes sociales;Total;Total;Total;310;30;1,3;35;2;136;68
06/02/2021;Total;Redes sociales;Total;Total;Total;350;40;1,5;65;2,5;156;78
07/02/2021;Total;Redes sociales;Total;Total;Total;360;50;1,5;50;3;164;82
08/02/2021;Total;Redes sociales;Total;Total;Total;330;30;1,2;45;1,5;144;72
09/02/2021;Total;Redes sociales;Total;Total;Total;360;60;1,6;65;2,5;168;84
10/02/2021;Total;Redes sociales;Total;Total;Total;350;50;1,5;70;4;160;80
11/02/2021;Total;Redes sociales;Total;Total;Total;340;40;1,4;35;2;152;76
12/02/2021;Total;Redes sociales;Total;Total;Total;370;50;1,3;45;2,5;168;84
13/02/2021;Total;Redes sociales;Total;Total;Total;380;30;1,5;55;3;164;82
14/02/2021;Total;Redes sociales;Total;Total;Total;390;60;1,6;67;1,5;180;90
